
 Generation    Best        Average       Standard 
 number        value       fitness       deviation 
  402       0.000070338   8.865240643   15.205619406 
  403       0.000070338   7.332814028   11.888807452 
  404       0.000070338   5.717495370   8.853390446 
  405       0.000070338   5.771249940   10.039259458 
  406       0.000070338   3.944367305   3.793472721 
  407       0.000070338   4.912406093   7.864984381 
  408       0.000070338   5.634517197   10.458253770 
  409       0.000070338   7.145046626   11.528698585 
  410       0.000070338   4.979608087   6.248452153 
  411       0.000070338   8.769025399   11.048825092 
  412       0.000070338   11.923334118   17.441472361 
  413       0.000070338   9.371096205   11.155659320 
  414       0.000070338   6.876287163   8.508494770 
  415       0.000070338   5.645755019   5.904233676 
  416       0.000070338   9.271210453   15.194112451 
  417       0.000070338   9.064463450   16.635314763 
  418       0.000070338   4.031332514   7.550937706 
  419       0.000070338   5.735977259   9.606610587 
  420       0.000070338   8.953849856   11.939974650 
  421       0.000070338   9.076971784   14.201402788 
  422       0.000070338   7.534521848   11.817745715 
  423       0.000070338   3.525139532   6.262054902 
  424       0.000070338   5.941256218   8.368713466 
  425       0.000070338   6.265990193   8.316783045 
  426       0.000070338   10.007911073   17.352765653 
  427       0.000070338   12.144273050   21.314105437 
  428       0.000070338   6.454427400   11.926631709 
  429       0.000070338   4.438854780   6.927959893 
  430       0.000070338   5.907958573   8.195299619 
  431       0.000070338   7.204589937   11.451601385 
  432       0.000070338   6.369198602   8.568161703 
  433       0.000070338   5.087127838   7.418001959 
  434       0.000070338   7.663335767   10.024832135 
  435       0.000070338   7.480561967   15.120837994 
  436       0.000070338   6.515812569   6.889539438 
  437       0.000070338   6.399478645   7.683034917 
  438       0.000070338   6.522411077   7.100419340 
  439       0.000070338   8.192377726   8.622942380 
  440       0.000070338   10.687894457   11.757193950 
  441       0.000070338   11.417111246   14.403061141 
  442       0.000070338   9.838677429   10.769511308 
  443       0.000070338   9.371940512   12.037400323 
  444       0.000070338   11.058957371   13.841355597 
  445       0.000070338   8.100376373   14.368550576 
  446       0.000070338   4.610825791   10.327496847 
  447       0.000070338   5.616413640   9.898269099 
  448       0.000070338   7.324115466   11.266033521 
  449       0.000070338   5.262513119   6.864525758 
  450       0.000063795   4.658900163   9.185548569 
  451       0.000063795   2.888803013   4.061652492 
  452       0.000059320   5.044432843   8.926244336 
  453       0.000059320   7.420949969   7.737184736 
  454       0.000059320   7.254998762   8.347711603 
  455       0.000059320   7.088782560   8.455061548 
  456       0.000059320   6.389102496   6.645287199 
  457       0.000059320   10.815686570   11.166276459 
  458       0.000059320   13.814777449   12.141945104 
  459       0.000059320   9.749219419   10.275186423 
  460       0.000059320   9.987923632   13.424416745 
  461       0.000059320   9.365698987   11.447865751 
  462       0.000059320   7.727724444   12.180153265 
  463       0.000059320   7.592228040   13.689788544 
  464       0.000059320   6.519264920   8.969051330 
  465       0.000059320   6.697586169   8.873744951 
  466       0.000059320   6.902538697   11.708796067 
  467       0.000059320   6.248837164   10.208935199 
  468       0.000059320   7.493822201   11.146787081 
  469       0.000059320   3.952167522   6.667015444 
  470       0.000059320   9.053809223   18.579474837 
  471       0.000059320   7.658155191   16.728993831 
  472       0.000059320   3.866610577   9.230473042 
  473       0.000059320   6.989648651   15.384773907 
  474       0.000059320   6.036047264   13.345921132 
  475       0.000059320   7.047916570   10.371531614 
  476       0.000059320   7.336226468   11.139329800 
  477       0.000059320   4.380392071   8.963419939 
  478       0.000059320   4.033025375   10.073319252 
  479       0.000059320   7.192252649   12.820802076 
  480       0.000059320   3.259957539   7.045606399 
  481       0.000059320   5.166687595   13.667551022 
  482       0.000059320   5.523141012   14.093723135 
  483       0.000059320   6.501764680   18.179047721 
  484       0.000059320   3.687906240   10.931022659 
  485       0.000059320   3.927782488   9.056942874 
  486       0.000059320   8.698974594   14.130971426 
  487       0.000059320   9.200898573   14.710562446 
  488       0.000058690   5.313250835   8.638092422 
  489       0.000051791   6.607154344   10.404058804 
  490       0.000051791   5.683507451   8.658433981 
  491       0.000051791   8.482004045   14.935895167 
  492       0.000051791   7.380272478   11.261939217 
  493       0.000051791   4.241356014   6.012137020 
  494       0.000051791   5.101603660   7.080176440 
  495       0.000051791   5.690667083   8.484069361 
  496       0.000051791   6.959813120   8.602144311 
  497       0.000051791   7.028451023   12.585752150 
  498       0.000051791   6.458208337   12.464890580 
  499       0.000051791   6.553953963   13.999305262 
  500       0.000051791   7.365944546   10.134922328 
